designacao,tipo,idatend,dicofre,morada,codigopostal,localidadepostal,telefone,email,site,latitude,longitude,nodeidet,entidadetutelar,nodeident,entidade
POSTO TERRITORIAL DE ARGANIL,Quartel GNR,13248,060102,Bairro do Sobreiral - Arganil,3300-018,Arganil,235200520,ct.cbr.darg.parg@gnr.pt,www.gnr.pt,40.223,-8.062,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE GÓIS,Quartel GNR,13249,060604,Avenida Engenheiro Augusto Nogueira Pereira,3330-209,Góis,235770160,ct.cbr.darg.pgois@gnr.pt,www.gnr.pt,40.163,-8.108,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE OLIVEIRA DO HOSPITAL,Quartel GNR,13250,061124,Avenida Drº Carlos Campos,3400-058,Oliveira do Hospital,238604444,ct.cbr.darg.povh@gnr.pt,www.gnr.pt,40.361,-7.859,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PAMPILHOSA DA SERRA,Quartel GNR,13251,061206,"Rua Rangel de Lima,n.º 10",3320-229,Pampilhosa da Serra,235590100,ct.cbr.darg.ppms@gnr.pt,www.gnr.pt,40.046,-7.947,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE TÁBUA,Quartel GNR,13252,061614,Largo do Mercado,3420-313,Tábua,235410430,ct.cbr.darg.ptab@gnr.pt,www.gnr.pt,40.364,-8.027,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE MONTEMOR-O-VELHO,Quartel GNR,13253,061016,Avenida dos Bombeiros Voluntários,3140-250,Montemor-o-Velho,239687070,ct.cbr.dmtv@gnr.pt,www.gnr.pt,40.177,-8.679,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MAIORCA,Quartel GNR,13254,060507,Lugar da Cordeira - Arneiro de S. João,3090-468,Maiorca,233937560,ct.cbr.dmtv.pmrc@gnr.pt,www.gnr.pt,40.169,-8.753,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MONTEMOR-O-VELHO,Quartel GNR,13255,061016,Avenida dos Bombeiros Voluntários,3140-250,Montemor-o-Velho,239687140,ct.cbr.dmtv.pmtv@gnr.pt,www.gnr.pt,40.177,-8.679,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PAIÃO,Quartel GNR,13256,060523,"Largo do Alvideiro, n.º 3",3090-495,Paião,233940519,ct.cbr.dmtv.pai@gnr.pt,www.gnr.pt,40.067,-8.807,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PRAIA DE QUIAIOS,Quartel GNR,13257,060524,Rua da Fonte Nova - Murtilheira,3080-514,Quiaios,233919107,ct.cbr.dmtv.pqui@gnr.pt,www.gnr.pt,40.209,-8.894,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SOURE,Quartel GNR,13258,061509,Avenida Doutor João Esteves Simões,3130-241,Soure,239506020,ct.cbr.dmtv.psor@gnr.pt,www.gnr.pt,40.063,-8.619,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE TRÂNSITO DE COIMBRA,Quartel GNR,13259,060318,"Avenida Drº Dias da Silva, nº 122",3000-135,Coimbra,239794300,ct.cbr.tcbr@gnr.pt,www.gnr.pt,40.211,-8.410,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO DE TRÂNSITO DE FIGUEIRA DA FOZ (Mealhada),Quartel GNR,13260,060334,Apartado 51,3050-901,Mealhada,231202513,ct.cbr.tcbr.tfgf@gnr.pt,www.gnr.pt,40.372,-8.488,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE INTERVENÇÃO DE COIMBRA,Quartel GNR,13261,060318,"Avenida Dr. Dias da Silva, nº 122",3000-135,Coimbra,239794300,ct.cbr.dint@gnr.pt,www.gnr.pt,40.211,-8.410,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
COMANDO TERRITORIAL DE ÉVORA,Quartel GNR,13262,070524,Avenida Drº Francisco Barahona nº 21,7005-150,Évora,266748400,ct.evr@gnr.pt,www.gnr.pt,38.562,-7.907,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE ESTREMOZ,Quartel GNR,13263,070414,"Avenida 9 de Abril, nº 57",7100-500,Estremoz,268322804,ct.evr.detz@gnr.pt,www.gnr.pt,38.844,-7.582,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ARRAIOLOS,Quartel GNR,13264,070201,"Rua Lima e Brito, nº 12",7040-060,Arraiolos,266490700,ct.evr.detz.parl@gnr.pt,www.gnr.pt,38.726,-7.984,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BORBA,Quartel GNR,13265,070301,"Avenida 25 de Abril, n.º 3",7150-109,Borba,268894221,ct.evr.detz.pbrb@gnr.pt,www.gnr.pt,38.805,-7.454,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ESTREMOZ,Quartel GNR,13266,070414,"Avenida 9 de Abril, nº 57",7100-500,Estremoz,268322804,ct.evr.detz.petz@gnr.pt,www.gnr.pt,38.844,-7.582,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MORA,Quartel GNR,13267,070703,Rua do Fluviário nº 9,7490-208,Mora,266439080,ct.evr.detz.pmor@gnr.pt,www.gnr.pt,38.943,-8.160,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PAVIA,Quartel GNR,13268,070704,"Rua 5 de Outubro,n.º 52",7490-426,Pavia,266457121,ct.evr.detz.ppav@gnr.pt,www.gnr.pt,38.894,-8.021,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VEIROS,Quartel GNR,13269,070413,Rua Cap. M. de Albuquerque nº 12,7100-690,Veiros,268929123,ct.evr.detz.pvrs@gnr.pt,www.gnr.pt,38.953,-7.506,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DO VIMIEIRO,Quartel GNR,13270,070206,Praça Drº Teofilo Salvado,7040-621,Vimieiro,266467106,ct.evr.detz.pvmr@gnr.pt,www.gnr.pt,38.830,-7.838,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE ÉVORA,Quartel GNR,13271,070524,Avenida Drº Barahona nº 21,7005-150,Évora,266748400,ct.evr.devr@gnr.pt,www.gnr.pt,38.562,-7.906,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE AZARUJA,Quartel GNR,13272,070506,"Rua Engº. José Frederico Ulrich, nº 2",7005-117,Azaruja,266977164,ct.evr.devr.pazr@gnr.pt,www.gnr.pt,38.707,-7.780,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ÉVORA,Quartel GNR,13273,070524,Avenida Drº Barahona nº 21,7005-150,Évora,266748400,ct..evr.devr.pevr@gnr.pt,www.gnr.pt,38.562,-7.906,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PORTEL,Quartel GNR,13274,070905,"Estrada do Forte, S/N",7220-413,Portel,266619400,ct.evr.devr.pprt@gnr.pt,www.gnr.pt,38.305,-7.708,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE REDONDO,Quartel GNR,13275,071002,"Rua Infante D. Henrique,n.º 31",7170-004,Redondo,266909101,ct.evr.devr.prdd@gnr.pt,www.gnr.pt,38.649,-7.549,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SÃO MANÇOS,Quartel GNR,13276,070526,Rua Drº Barahona nº18,7005-740,São Manços,266722120,ct.evr.devr.pmnc@gnr.pt,www.gnr.pt,38.457,-7.751,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SÃO MIGUEL DE MACHEDE,Quartel GNR,13277,070509,Rua Casa do Povo,7005-766,São Miguel de Machede,266987123,ct.evr.devr.psmm@gnr.pt,www.gnr.pt,38.644,-7.728,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE MONTEMOR-O-NOVO,Quartel GNR,13278,070612,"Rua D. Vasco, n.º 42",7050-226,Montemor-o-Novo,266898050,ct.evr.dmmn@gnr.pt,www.gnr.pt,38.643,-8.213,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ALCÁÇOVAS,Quartel GNR,13279,071301,"Largo da Matriz, n.º 4",7090-025,Alcáçovas,266954118,ct.evr.dmmn.pacv@gnr.pt,www.gnr.pt,38.396,-8.154,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CABRELA,Quartel GNR,13280,070601,"Rua Joaquim Pedro de Matos, nº 8",7050-423,Cabrela,265895133,ct.evr.dmmn.pcbl@gnr.pt,www.gnr.pt,38.598,-8.460,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ESCOURAL,Quartel GNR,13281,070605,"Rua Magalhães de Lima, n.º 105",7050-556,Escoural,266857112,ct.evr.dmmn.pecr@gnr.pt,www.gnr.pt,38.541,-8.167,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE LAVRE,Quartel GNR,13282,070611,"Rua Bernardino Machado, n.º 21",7050-467,Lavre,265894211,ct.evr.dmmn.plvr@gnr.pt,www.gnr.pt,38.774,-8.370,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MONTEMOR-O-NOVO,Quartel GNR,13283,070612,"Rua D. Vasco, n.º 42",7050-226,Montemor-o-Novo,266898050,ct.evr.dmmn.pmmn@gnr.pt,www.gnr.pt,38.643,-8.213,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SÃO CRISTÓVÃO,Quartel GNR,13284,070606,"Rua General Farinha Beirão, n.º 8",7050-600,São Cristóvão,266837129,ct.evr.dmmn.psct@gnr.pt,www.gnr.pt,38.489,-8.307,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VENDAS NOVAS,Quartel GNR,13285,071201,Rua General Humberto Delgado nº 104,7080-170,Vendas Novas,265809780,ct.evr.dmmn.pvdn@gnr.pt,www.gnr.pt,38.680,-8.463,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VIANA DO ALENTEJO,Quartel GNR,13286,071302,"Rua do Progresso, n.º 3",7090-263,Viana do Aentejo,266953126,ct.evr.dmmn.pvna@gnr.pt,www.gnr.pt,38.334,-8.006,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE REGUENGOS DE MONSARAZ,Quartel GNR,13287,071104,"Rua Reguengos de Monsaraz e Corval, n.º 1",7200-314,Reguengos de Monsaraz,266509380,ct.evr.drgm@gnr.pt,www.gnr.pt,38.426,-7.531,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DO ALANDROAL,Quartel GNR,13288,070107,Rua Eiras do Ravasco nº 1,7250-121,Alandroal,268449163,ct.evr.drgm.pald@gnr.pt,www.gnr.pt,38.698,-7.407,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BENCATEL,Quartel GNR,13289,071401,Rua Bento de Jesus Caraça nº 14,7160-061,Bencatel,268409143,ct.evr.drgm.pbct@gnr.pt,www.gnr.pt,38.745,-7.455,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE GRANJA,Quartel GNR,13290,070801,"Rua da Corredoura, n.º 27",7240-012,Granja,266577121,ct.evr.drgm.grj@gnr.pt,www.gnr.pt,38.303,-7.256,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MOURÃO,Quartel GNR,13291,070803,Rua do Alcance nº 36,7240-236,Mourão,266586122,ct.evr.drgm.pmou@gnr.pt,www.gnr.pt,38.380,-7.341,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE REGUENGOS DE MONSARAZ,Quartel GNR,13292,071104,Rua Reguengos de Monsaraz e Corval nº 1,7200-314,Reguengos de Monsaraz,266509380,ct.evr.drgm.prgm@gnr.pt,www.gnr.pt,38.426,-7.531,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SANTIAGO MAIOR,Quartel GNR,13293,070103,"Rua Principal nº 39, Aldeia das Pias",7200-012,Santiago Maior,268497018,ct.evr.drgm.pstm@gnr.pt,www.gnr.pt,38.544,-7.481,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SÃO ROMÃO,Quartel GNR,13294,071402,"Bairro de São João nº 8, São Romão",7160-121,Ciladas,268969117,ct.evr.drgm.psrm@gnr.pt,www.gnr.pt,38.779,-7.318,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE TELHEIRO,Quartel GNR,13295,071103,"Rua da Fonte, Telheiro",7200-181,Monsaraz,266557151,ct.evr.drgm.ptlr@gnr.pt,www.gnr.pt,38.451,-7.380,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA VIÇOSA,Quartel GNR,13296,071406,"Rua Martim Afonso de Sousa, n.º 4",7160-277,Vila Viçosa,268980469,ct.evr.drgm.pvlv@gnr.pt,www.gnr.pt,38.777,-7.418,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE TRÂNSITO DE ÉVORA,Quartel GNR,13297,070524,"Avenida Dr.º Francisco Barahona, nº 35",7005-150,Évora,266748400,ct.evr.tevr@gnr.pt,www.gnr.pt,38.561,-7.906,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO DE TRÂNSITO DE VENDAS NOVAS,Quartel GNR,13298,071201,Quinta da Atalaia,7080-999,Vendas Novas,265807270,ct.evr.tevr.tvnd@gnr.pt,www.gnr.pt,38.659,-8.430,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO DE TRÂNSITO DE ESTREMOZ,Quartel GNR,13299,070414,Herdade do Pombal,7100-909,Estremoz,268334004,ct.evr.tevr.tetz@gnr.pt,www.gnr.pt,38.824,-7.610,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE INTERVENÇÃO DE ÉVORA,Quartel GNR,13300,070524,"Avenida Dr.º Francisco Barahona, n.º 21",7005-150,Évora,266748400,ct.evr.dint@gnr.pt,www.gnr.pt,38.562,-7.907,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
COMANDO TERRITORIAL DE FARO,Quartel GNR,13301,080508,"Largo São Sebastião, nº 18",8000-155,Faro,289887600,ct.far@gnr.pt,www.gnr.pt,37.020,-7.937,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE ALBUFEIRA,Quartel GNR,13302,080106,Estrada Vale de Pedras,8201-859,Albufeira,289590790,ct.far.dabf@gnr.pt,www.gnr.pt,37.096,-8.245,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
SUBDESTACAMENTO TERRITORIAL DE ALBUFEIRA,Quartel GNR,13303,080106,Estrada Vale de Pedras,8201-859,Albufeira,289590790,ct.far.dabf.pabf@gnr.pt,www.gnr.pt,37.096,-8.245,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE OLHOS D'ÁGUA,Quartel GNR,13304,080106,Rua Torre da Medronheira,8200-992,Albufeira,289501478,ct.far.dabf.poda@gnr.pt,www.gnr.pt,37.089,-8.195,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PADERNE,Quartel GNR,13305,080103,Largo General Humberto Delgado,8200-495,Albufeira,289367115,ct.far.dabf.ppdr@gnr.pt,www.gnr.pt,37.176,-8.200,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE FARO,Quartel GNR,13306,080508,"Largo São Sebastião, nº 18",8000-155,Faro,289887605,ct.far.dfar@gnr.pt,www.gnr.pt,37.020,-7.937,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE FARO,Quartel GNR,13307,080508,"Largo São Sebastião, nº 18",8000-155,Faro,289887603,ct.far.dfar.pfar@gnr.pt,www.gnr.pt,37.020,-7.937,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE OLHÃO,Quartel GNR,13308,081006,"R. Gabriel Mendonça, nº 5",8700-098,Moncarrapacho,289790010,ct.far.dfar.polh@gnr.pt,www.gnr.pt,37.084,-7.787,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SÃO BRÁS DE ALPORTEL,Quartel GNR,13309,081201,"Sítio da Calçada, E.N. 270",8150-156,São Brás de Alportel,289840800,ct.far.dfar.psba@gnr.pt,www.gnr.pt,37.153,-7.897,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO FISCAL DO AEROPORTO FARO,Quartel GNR,13310,080506,Aeroporto de Faro,8005-999,Faro,289889413,,www.gnr.pt,37.020,-7.971,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE LOULÉ,Quartel GNR,13311,080809,Travessa Charles Bonett,8100-687,Loulé,289410490,ct.far.dlle@gnr.pt,www.gnr.pt,37.137,-8.025,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ALMANCIL,Quartel GNR,13312,080801,Rua Vale Formoso,8135-148,Almancil,289351530,ct.far.dlle.palc@gnr.pt,www.gnr.pt,37.088,-8.029,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE LOULÉ,Quartel GNR,13313,080809,Travessa Charles Bonett,8100-687,Loulé,289410490,ct.far.dlle.plle@gnr.pt,www.gnr.pt,37.137,-8.025,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE QUARTEIRA,Quartel GNR,13314,080805,"Urbanização Forte Novo, Bloco C cave",8125-214,Quarteira,289310420,ct.far.dlle.pqrt@gnr.pt,www.gnr.pt,37.065,-8.089,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SALIR,Quartel GNR,13315,080807,"Rua Dona Amélia Cândido Ramalho, n.º 11",8100-202,Salir,289489136,ct.far.dlle.pslr@gnr.pt,www.gnr.pt,37.240,-8.044,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILAMOURA,Quartel GNR,13316,080805,Rua das Laranjeiras,8125-470,Vilamoura,289381780,ct.far.dlle.pvlm@gnr.pt,www.gnr.pt,37.082,-8.119,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE PORTIMÃO,Quartel GNR,13317,081103,"Alto da Raminha, Avenida V6",8500-510,Portimão,282420750,ct.far.dptm@gnr.pt,www.gnr.pt,37.145,-8.549,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ALJEZUR,Quartel GNR,13318,080301,"Rua da Escola, n.º 3",8670-055,Aljezur,282998130,ct.far.dptm.pajz@gnr.pt,www.gnr.pt,37.196,-8.860,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE LAGOS,Quartel GNR,13319,080708,Largo Convento Senhora da Glória,8600-660,Lagos,282770010,ct.far.dptm.plgs@gnr.pt,www.gnr.pt,37.104,-8.677,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MONCHIQUE,Quartel GNR,13320,080903,"Rua de Serpa Pinto, n.º 75",8550-467,Monchique,282912629,ct.far.dptm.pmcq@gnr.pt,www.gnr.pt,37.316,-8.553,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ODECEIXE,Quartel GNR,13321,080303,"Rua Estrada Nacional, nº 19",8670-320,Odeceixe,282947682,ct.far.dptm.podc@gnr.pt,www.gnr.pt,37.432,-8.769,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE PORTIMÃO,Quartel GNR,13322,081103,"Alto da Rainha, Avenida V6",8500-510,Portimão,282420750,ct.far.dptm.pptm@gnr.pt,www.gnr.pt,37.145,-8.549,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA DO BISPO,Quartel GNR,13323,081506,"Rua de Santa Fé, Lt 1",8650-436,Vila do Bispo,282630010,ct.far.dptm.pvlb@gnr.pt,www.gnr.pt,37.079,-8.913,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE SILVES,Quartel GNR,13324,081307,"Rua Drº Francisco Vieira, nº 3",8300-152,Silves,282440290,ct.far.dslv@gnr.pt,www.gnr.pt,37.188,-8.438,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ARMAÇÃO DE PÊRA,Quartel GNR,13325,081303,Via Dorsal - Sítio da Torre,8365-108,Armação de Pêra,282320240,ct.far.dslv.pamp@gnr.pt,www.gnr.pt,37.105,-8.357,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DO CARVOEIRO,Quartel GNR,13326,080608,"Rampa Nossa Srª da Encarnação, n.º 15",8400-513,Carvoeiro,282356460,ct.far.dslv.pcrv@gnr.pt,www.gnr.pt,37.096,-8.471,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE LAGOA,Quartel GNR,13327,080608,Rua Francisco M. Veloso,8400-325,Lagoa,282380190,ct.far.dslv.plag@gnr.pt,www.gnr.pt,37.135,-8.457,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SÃO BARTOLOMEU DE MESSINES,Quartel GNR,13328,081305,"Rua Francisco N. Cabrita, n.º 13",8375-124,São Bartolomeu de Messines,282339246,ct.far.dslv.psbm@gnr.pt,www.gnr.pt,37.257,-8.286,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SILVES,Quartel GNR,13329,081307,"Rua Drº Francisco Vieira, nº 3",8300-152,Silves,282440290,ct.far.dslv.pslv@gnr.pt,www.gnr.pt,37.188,-8.438,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE TAVIRA,Quartel GNR,13330,081412,"Rua de Santa Margarida, n.º 2",8800-500,Tavira,281329030,ct.far.dtvr@gnr.pt,www.gnr.pt,37.124,-7.660,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ALCOUTIM,Quartel GNR,13331,080206,"Rua 25 de Abril, nº 12",8970-057,Alcotim,281540010,ct.far.dtvr.pact@gnr.pt,www.gnr.pt,37.471,-7.471,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CASTRO MARIM,Quartel GNR,13332,080402,"Rua de São Sebastião, n.º 53",8950-121,Castro Marim,281531004,ct.far.dtvr.pctm@gnr.pt,www.gnr.pt,37.217,-7.445,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE MARTINLONGO,Quartel GNR,13333,080203,"Rua Cabo Agostinho F. Ferreiro, n.º 19",8970-261,Martilongo,281498131,ct.far.dtvr.pmrl@gnr.pt,www.gnr.pt,37.440,-7.771,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE TAVIRA,Quartel GNR,13334,081412,"Rua de Santa Margarida, n.º 2",8800-500,Tavira,281329030,ct.far.dtvr.ptvr@gnr.pt,www.gnr.pt,37.124,-7.660,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA REAL DE SANTO ANTÓNIO,Quartel GNR,13335,081602,"Rua  Dr. Manuel de Arriaga, nº 19",8900-242,Vila Real de Santo António,281530150,ct.far.dtvr.pvra@gnr.pt,www.gnr.pt,37.195,-7.416,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
CENTRO DE COOPERAÇÃO POLICIAL E ADUANEIRA DE CASTRO MARIM / AYAMONTE,Quartel GNR,13336,080402,"A22,  km 131,Parque da Fronteira",8950-284,Castro Marim,281531639,ccpa.ctm@gnr.pt,www.gnr.pt,37.21704167,-7.43975278,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE TRÂNSITO DE FARO,Quartel GNR,13337,080106,"Rua das Escolas, Sítio dos Caliços",8200-126,Albufeira,289598730,ct.far.tfar@gnr.pt,www.gnr.pt,37.095,-8.246,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO DE TRÂNSITO DE TAVIRA,Quartel GNR,13338,081412,"Rua de Santa Margarida, nº 2",8800-500,Tavira,281380140,ct.far.tfar.ttvr@gnr.pt,www.gnr.pt,37.124,-7.660,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE TRÂNSITO DE LAGOS,Quartel GNR,13339,080708,Largo do Infantário - Chinicato,8600-306,Lagos,282770430,ct.far.tlgs@gnr.pt,www.gnr.pt,37.132,-8.667,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO DE INTERVENÇÃO DE FARO,Quartel GNR,13340,080508,"Largo São Sebastião, nº 18",8000-155,Faro,289887600,ct.far.dint@gnr.pt,www.gnr.pt,37.020,-7.937,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
COMANDO TERRITORIAL DA GUARDA,Quartel GNR,13341,090758,"Largo General Humberto Delgado, nº 20",6301-856,Guarda,271210630,ct.grd@gnr.pt,www.gnr.pt,40.534,-7.267,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE GOUVEIA,Quartel GNR,13342,090625,Avenida Serra de Estrela,6290-320,Gouveia,238490700,ct.grd.dgva@gnr.pt,www.gnr.pt,40.495,-7.602,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE AGUIAR DA BEIRA,Quartel GNR,13343,090114,"Avenida da Liberdade, nº 123",3570-025,Aguiar da Beira,232689120,ct.grd.dgva.pagb@gnr.pt,www.gnr.pt,40.809,-7.548,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE FORNOS DE ALGODRES,Quartel GNR,13344,090505,Urbanização Zona Sul,6370-174,Fornos de Algodres,271701188,ct.grd.dgva.pfna@gnr.pt,www.gnr.pt,40.619,-7.537,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE GOUVEIA,Quartel GNR,13345,090625,Avenida Serra de Estrela,6290-320,Gouveia,238490700,ct.grd.dgva.pgva@gnr.pt,www.gnr.pt,40.495,-7.602,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE VILA NOVA DE TAZEM,Quartel GNR,13346,090621,Avenida Bombeiros Voluntários,6290-632,Vila Nova de Tazem,238486546,ct.grd.dgva.pvnt@gnr.pt,www.gnr.pt,40.504,-7.702,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
